country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1972,36.088,13079460,739.9811058
Bahrain,Asia,1972,63.3,230800,18268.65839
Bangladesh,Asia,1972,45.252,70759295,630.2336265
Cambodia,Asia,1972,40.317,7450606,421.6240257
China,Asia,1972,63.11888,862030000,676.9000921
"Hong Kong, China",Asia,1972,72,4115700,8315.928145
India,Asia,1972,50.651,567000000,724.032527
Indonesia,Asia,1972,49.203,121282000,1111.107907
Iran,Asia,1972,55.234,30614000,9613.818607
Iraq,Asia,1972,56.95,10061506,9576.037596
Israel,Asia,1972,71.63,3095893,12786.93223
Japan,Asia,1972,73.42,107188273,14778.78636
Jordan,Asia,1972,56.528,1613551,2110.856309
"Korea, Dem. Rep.",Asia,1972,63.983,14781241,3701.621503
"Korea, Rep.",Asia,1972,62.612,33505000,3030.87665
Kuwait,Asia,1972,67.712,841934,109347.867
Lebanon,Asia,1972,65.421,2680018,7486.384341
Malaysia,Asia,1972,63.01,11441462,2849.09478
Mongolia,Asia,1972,53.754,1320500,1421.741975
Myanmar,Asia,1972,53.07,28466390,357
Nepal,Asia,1972,43.971,12412593,674.7881296
Oman,Asia,1972,52.143,829050,10618.03855
Pakistan,Asia,1972,51.929,69325921,1049.938981
Philippines,Asia,1972,58.065,40850141,1989.37407
Saudi Arabia,Asia,1972,53.886,6472756,24837.42865
Singapore,Asia,1972,69.521,2152400,8597.756202
Sri Lanka,Asia,1972,65.042,13016733,1213.39553
Syria,Asia,1972,57.296,6701172,2571.423014
Taiwan,Asia,1972,69.39,15226039,4062.523897
Thailand,Asia,1972,60.405,39276153,1524.358936
Vietnam,Asia,1972,50.254,44655014,699.5016441
West Bank and Gaza,Asia,1972,56.532,1089572,3133.409277
"Yemen, Rep.",Asia,1972,39.848,7407075,1265.047031
